lot_id,horseId,salesId,lot_number,book_number,sex,horse_name,sire_name,sale_company,sale_year,day_number,session_median_price,sire_sold_count_36m,sire_total_offered_36m,sire_clearance_rate_36m,sire_median_price_36m,sire_sold_count_12m,sire_total_offered_12m,sire_clearance_rate_12m,sire_median_price_12m,sire_momentum,sire_sample_flag_36m,dam_progeny_sold_count,dam_progeny_total_offered_count,dam_progeny_median_price,dam_first_foal_flag,vendor_sold_count_36m,vendor_total_offered_36m,vendor_clearance_rate_36m,vendor_median_price_36m,vendor_volume_bucket,vendor_first_seen_flag
540619,1781870,2095,568,2,Colt,NZBKB226-568,Proisir,New Zealand Bloodstock,2026,1,27500.00,140,155,90.3,127500.00,7,11,63.6,37500.00,-90000.00,0,0,0,NULL,1,105,126,83.3,70000.00,high,0
540620,1766956,2095,569,2,Colt,NZBNWG25-34,Ardrossan,New Zealand Bloodstock,2026,1,27500.00,64,72,88.9,82500.00,12,18,66.7,28750.00,-53750.00,0,0,0,NULL,1,147,159,92.5,60000.00,high,0
540621,1781871,2095,570,2,Filly,NZBKB226-570,Ace High,New Zealand Bloodstock,2026,1,27500.00,53,64,82.8,35000.00,12,18,66.7,20000.00,-15000.00,0,3,3,45000.00,0,34,37,91.9,80000.00,mid,0
540622,1781872,2095,571,2,Colt,NZBKB226-571,Satono Aladdin,New Zealand Bloodstock,2026,1,27500.00,65,82,79.3,100000.00,14,20,70.0,50000.00,-50000.00,0,1,1,50000.00,0,0,0,NULL,NULL,new,1
540623,1781873,2095,572,2,Colt,NZBKB226-572,Ardrossan,New Zealand Bloodstock,2026,1,27500.00,64,72,88.9,82500.00,12,18,66.7,28750.00,-53750.00,0,1,1,50000.00,0,17,17,100.0,100000.00,mid,0
540624,1781874,2095,573,2,Filly,NZBKB226-573,Profondo,New Zealand Bloodstock,2026,1,27500.00,0,0,NULL,NULL,0,0,NULL,NULL,NULL,1,0,0,NULL,1,66,71,93.0,90000.00,high,0
540625,1781875,2095,574,2,Colt,NZBKB226-574,Tassort,New Zealand Bloodstock,2026,1,27500.00,4,4,100.0,82500.00,0,0,NULL,NULL,NULL,1,0,0,NULL,1,0,0,NULL,NULL,new,1
540626,1781876,2095,575,2,Colt,NZBKB226-575,Hello Youmzain,New Zealand Bloodstock,2026,1,27500.00,94,107,87.9,87500.00,12,14,85.7,15000.00,-72500.00,0,0,1,NULL,1,0,0,NULL,NULL,new,1
540627,1752499,2095,576,2,Colt,INAUW25-17,Best Of Bordeaux,New Zealand Bloodstock,2026,1,27500.00,0,0,NULL,NULL,0,0,NULL,NULL,NULL,1,0,0,NULL,1,0,0,NULL,NULL,new,1
540628,1782110,2095,577,2,Colt,NZBKB226-577,Armory,New Zealand Bloodstock,2026,1,27500.00,23,30,76.7,27500.00,15,21,71.4,11500.00,-16000.00,0,1,1,250000.00,0,0,0,NULL,NULL,new,1
540629,1781877,2095,578,2,Colt,NZBKB226-578,Ocean Park,New Zealand Bloodstock,2026,1,27500.00,122,131,93.1,70000.00,5,8,62.5,26000.00,-44000.00,0,0,0,NULL,1,0,0,NULL,NULL,new,1
540630,1781878,2095,579,2,Colt,NZBKB226-579,Ancient Spirit,New Zealand Bloodstock,2026,1,27500.00,8,11,72.7,50000.00,3,3,100.0,8000.00,-42000.00,1,0,0,NULL,1,7,7,100.0,60000.00,low,0
540631,1781879,2095,580,2,Colt,NZBKB226-580,Acrobat,New Zealand Bloodstock,2026,1,27500.00,5,5,100.0,72500.00,0,0,NULL,NULL,NULL,1,0,0,NULL,1,147,159,92.5,60000.00,high,0
540632,1781880,2095,581,2,Colt,NZBKB226-581,Profondo,New Zealand Bloodstock,2026,1,27500.00,0,0,NULL,NULL,0,0,NULL,NULL,NULL,1,1,1,35000.00,0,0,0,NULL,NULL,new,1
540633,1781881,2095,582,2,Filly,NZBKB226-582,Profondo,New Zealand Bloodstock,2026,1,27500.00,0,0,NULL,NULL,0,0,NULL,NULL,NULL,1,2,2,65000.00,0,65,78,83.3,50000.00,high,0
