lot_id,horseId,salesId,lot_number,book_number,sex,horse_name,sire_name,sale_company,sale_year,day_number,session_median_price,sire_sold_count_36m,sire_total_offered_36m,sire_clearance_rate_36m,sire_median_price_36m,sire_sold_count_12m,sire_total_offered_12m,sire_clearance_rate_12m,sire_median_price_12m,sire_momentum,sire_sample_flag_36m,dam_progeny_sold_count,dam_progeny_total_offered_count,dam_progeny_median_price,dam_first_foal_flag,vendor_sold_count_36m,vendor_total_offered_36m,vendor_clearance_rate_36m,vendor_median_price_36m,vendor_volume_bucket,vendor_first_seen_flag
508153,1723208,2005,746,0,Filly,Incys26-746,Prized Icon,Inglis,2026,3,70000.00,4,6,66.7,21250.00,0,1,0.0,NULL,NULL,0,0,0,NULL,1,21,23,91.3,30000.00,Large,0
508154,1723209,2005,747,0,Colt,Incys26-747,Trapeze Artist,Inglis,2026,3,70000.00,158,181,87.3,50000.00,35,44,79.5,37500.00,-12500.00,1,0,0,NULL,1,558,635,87.9,80000.00,Large,0
508155,1723210,2005,748,0,Colt,Incys26-748,Tiger Of Malay,Inglis,2026,3,70000.00,46,57,80.7,28500.00,38,49,77.6,24500.00,-4000.00,1,1,1,100000.00,0,71,87,81.6,65000.00,Large,0
508156,1723451,2005,749,0,Colt,Incys26-749,Bivouac,Inglis,2026,3,70000.00,121,145,83.4,100000.00,46,58,79.3,90000.00,-10000.00,1,0,0,NULL,1,123,158,77.8,20000.00,Large,0
508157,1723211,2005,750,0,Colt,Incys26-750,All Too Hard,Inglis,2026,3,70000.00,142,175,81.1,70000.00,40,46,87.0,80000.00,10000.00,1,0,0,NULL,1,123,158,77.8,20000.00,Large,0
508158,1723212,2005,751,0,Colt,Incys26-751,Written By,Inglis,2026,3,70000.00,146,158,92.4,50000.00,38,44,86.4,80000.00,30000.00,1,3,4,36000.00,0,38,41,92.7,50000.00,Large,0
508159,1723213,2005,752,0,Filly,Incys26-752,I Am Invincible,Inglis,2026,3,70000.00,227,261,87.0,460000.00,68,78,87.2,450000.00,-10000.00,1,4,4,125000.00,0,216,227,95.2,225000.00,Large,0
508160,1723214,2005,753,0,Colt,Incys26-753,Dundeel,Inglis,2026,3,70000.00,154,190,81.1,115000.00,38,47,80.9,190000.00,75000.00,1,1,1,220000.00,0,67,77,87.0,130000.00,Large,0
508161,1723215,2005,754,0,Colt,Incys26-754,Tagaloa,Inglis,2026,3,70000.00,96,106,90.6,35000.00,33,43,76.7,40000.00,5000.00,1,1,1,120000.00,0,285,361,78.9,115000.00,Large,0
508162,1723216,2005,755,0,Colt,Incys26-755,Toronado,Inglis,2026,3,70000.00,199,237,84.0,160000.00,48,67,71.6,200000.00,40000.00,1,0,0,NULL,1,200,218,91.7,70000.00,Large,0
508163,1723217,2005,756,0,Colt,Incys26-756,In The Congo,Inglis,2026,3,70000.00,12,13,92.3,215000.00,12,13,92.3,215000.00,0.00,1,0,0,NULL,1,558,635,87.9,80000.00,Large,0
508164,1723218,2005,757,0,Filly,Incys26-757,In The Congo,Inglis,2026,3,70000.00,12,13,92.3,215000.00,12,13,92.3,215000.00,0.00,1,3,3,80000.00,0,47,52,90.4,38000.00,Large,0
508165,1751660,2005,758,0,Colt,INGS25-41,Toronado,Inglis,2026,3,70000.00,199,237,84.0,160000.00,48,67,71.6,200000.00,40000.00,1,0,0,NULL,1,67,74,90.5,220000.00,Large,0
508166,1723220,2005,759,0,Colt,Incys26-759,Diatonic,Inglis,2026,3,70000.00,5,6,83.3,220000.00,5,6,83.3,220000.00,0.00,1,1,1,240000.00,0,285,361,78.9,115000.00,Large,0
508167,1723221,2005,760,0,Colt,Incys26-760,Harry Angel,Inglis,2026,3,70000.00,131,143,91.6,80000.00,66,74,89.2,100000.00,20000.00,1,1,1,60000.00,0,101,122,82.8,70000.00,Large,0
508168,1723222,2005,761,0,Filly,Incys26-761,St Mark's Basilica,Inglis,2026,3,70000.00,59,70,84.3,140000.00,36,41,87.8,120000.00,-20000.00,1,3,4,130000.00,0,88,102,86.3,85000.00,Large,0
508169,1723223,2005,762,0,Colt,Incys26-762,Justify,Inglis,2026,3,70000.00,89,98,90.8,200000.00,23,26,88.5,300000.00,100000.00,1,1,1,80000.00,0,216,227,95.2,225000.00,Large,0
508170,1723224,2005,763,0,Filly,Incys26-763,Zousain,Inglis,2026,3,70000.00,204,225,90.7,60000.00,54,60,90.0,80000.00,20000.00,1,0,0,NULL,1,0,0,NULL,NULL,New,1
508171,1723225,2005,764,0,Colt,Incys26-764,Lucky Vega,Inglis,2026,3,70000.00,63,72,87.5,70000.00,26,32,81.3,140000.00,70000.00,1,0,0,NULL,1,285,361,78.9,115000.00,Large,0
508172,1752230,2005,765,0,Filly,MMGCNW25-350,Wild Ruler,Inglis,2026,3,70000.00,76,94,80.9,72500.00,50,59,84.7,50000.00,-22500.00,1,0,0,NULL,1,54,59,91.5,30000.00,Large,0
508173,1723453,2005,766,0,Colt,Incys26-766,Daumier,Inglis,2026,3,70000.00,3,3,100.0,90000.00,3,3,100.0,90000.00,0.00,0,1,1,40000.00,0,172,202,85.1,65000.00,Large,0
508174,1723226,2005,767,0,Filly,Incys26-767,Spirit Of Boom,Inglis,2026,3,70000.00,190,211,90.0,90000.00,53,63,84.1,90000.00,0.00,1,4,4,82500.00,0,71,87,81.6,65000.00,Large,0
508175,1723227,2005,768,0,Filly,Incys26-768,Farnan,Inglis,2026,3,70000.00,164,183,89.6,130000.00,67,79,84.8,100000.00,-30000.00,1,3,3,180000.00,0,40,44,90.9,57500.00,Large,0
508176,1723454,2005,769,0,Colt,Incys26-769,Cosmic Force,Inglis,2026,3,70000.00,108,120,90.0,44500.00,30,32,93.8,62500.00,18000.00,1,0,0,NULL,1,39,43,90.7,145000.00,Large,0
