lot_id,horseId,salesId,lot_number,book_number,sex,horse_name,sire_name,sale_company,sale_year,day_number,session_median_price,sire_sold_count_36m,sire_total_offered_36m,sire_clearance_rate_36m,sire_median_price_36m,sire_sold_count_12m,sire_total_offered_12m,sire_clearance_rate_12m,sire_median_price_12m,sire_momentum,sire_sample_flag_36m,dam_progeny_sold_count,dam_progeny_total_offered_count,dam_progeny_median_price,dam_first_foal_flag,vendor_sold_count_36m,vendor_total_offered_36m,vendor_clearance_rate_36m,vendor_median_price_36m,vendor_volume_bucket,vendor_first_seen_flag
539241,1752058,2093,1,0,Colt,MMGCNW25-121,Harry Angel,New Zealand Bloodstock,2026,0,110000.00,12,12,100.0,110000.00,1,1,100.0,60000.00,-50000.00,0,0,0,NULL,1,52,62,83.9,115000.00,high,0
539242,1764128,2093,2,0,Colt,NZBNKB125-2,Tarzino,New Zealand Bloodstock,2026,0,110000.00,65,77,84.4,45000.00,34,40,85.0,16500.00,-28500.00,0,0,0,NULL,1,200,230,87.0,45000.00,high,0
539243,1764129,2093,3,0,Filly,NZBNKB125-3,Harry Angel,New Zealand Bloodstock,2026,0,110000.00,12,12,100.0,110000.00,1,1,100.0,60000.00,-50000.00,0,1,1,200000.00,0,30,32,93.8,87500.00,mid,0
539244,1764130,2093,4,0,Colt,NZBNKB125-4,Super Seth,New Zealand Bloodstock,2026,0,110000.00,109,116,94.0,100000.00,21,25,84.0,65000.00,-35000.00,0,1,1,60000.00,0,52,59,88.1,140000.00,high,0
539245,1764131,2093,5,0,Filly,NZBNKB125-5,So You Think,New Zealand Bloodstock,2026,0,110000.00,30,32,93.8,120000.00,7,8,87.5,110000.00,-10000.00,0,0,0,NULL,1,120,128,93.8,105000.00,high,0
539246,1764132,2093,6,0,Colt,NZBNKB125-6,Profondo,New Zealand Bloodstock,2026,0,110000.00,0,0,NULL,NULL,0,0,NULL,NULL,NULL,1,0,0,NULL,1,65,78,83.3,50000.00,high,0
539247,1762345,2093,7,0,Colt,NZBNKB125-7,Profondo,New Zealand Bloodstock,2026,0,110000.00,0,0,NULL,NULL,0,0,NULL,NULL,NULL,1,2,2,115000.00,0,66,71,93.0,90000.00,high,0
539248,1764133,2093,8,0,Colt,NZBNKB125-8,Savabeel,New Zealand Bloodstock,2026,0,110000.00,121,133,91.0,200000.00,36,42,85.7,182500.00,-17500.00,0,0,0,NULL,1,179,183,97.8,100000.00,high,0
539249,1764134,2093,9,0,Colt,NZBNKB125-9,Satono Aladdin,New Zealand Bloodstock,2026,0,110000.00,65,82,79.3,100000.00,44,59,74.6,105000.00,5000.00,0,4,4,45000.00,0,105,126,83.3,70000.00,high,0
539250,1764135,2093,10,0,Colt,NZBNKB125-10,Super Seth,New Zealand Bloodstock,2026,0,110000.00,109,116,94.0,100000.00,21,25,84.0,65000.00,-35000.00,0,1,1,22500.00,0,179,183,97.8,100000.00,high,0
539251,1764136,2093,11,0,Colt,NZBNKB125-11,Savabeel,New Zealand Bloodstock,2026,0,110000.00,121,133,91.0,200000.00,36,42,85.7,182500.00,-17500.00,0,1,1,150000.00,0,179,183,97.8,100000.00,high,0
539252,1764137,2093,12,0,Colt,NZBNKB125-12,Proisir,New Zealand Bloodstock,2026,0,110000.00,140,155,90.3,127500.00,49,60,81.7,100000.00,-27500.00,0,0,0,NULL,1,147,159,92.5,60000.00,high,0
539253,1752067,2093,13,0,Filly,MMGCNW25-135,Maurice,New Zealand Bloodstock,2026,0,110000.00,6,6,100.0,105000.00,1,1,100.0,80000.00,-25000.00,1,0,0,NULL,1,83,99,83.8,100000.00,high,0
539254,1764138,2093,14,0,Colt,NZBNKB125-14,Proisir,New Zealand Bloodstock,2026,0,110000.00,140,155,90.3,127500.00,49,60,81.7,100000.00,-27500.00,0,2,2,125000.00,0,30,36,83.3,80000.00,mid,0
539255,1764139,2093,15,0,Filly,NZBNKB125-15,Sword Of State,New Zealand Bloodstock,2026,0,110000.00,33,38,86.8,100000.00,33,38,86.8,100000.00,0.00,0,1,1,320000.00,0,3,3,100.0,80000.00,low,0
539256,1764140,2093,16,0,Colt,NZBNKB125-16,Profondo,New Zealand Bloodstock,2026,0,110000.00,0,0,NULL,NULL,0,0,NULL,NULL,NULL,1,0,0,NULL,1,101,107,94.4,80000.00,high,0
539257,1764141,2093,17,0,Filly,NZBNKB125-17,Sword Of State,New Zealand Bloodstock,2026,0,110000.00,33,38,86.8,100000.00,33,38,86.8,100000.00,0.00,0,3,3,150000.00,0,33,34,97.1,150000.00,mid,0
539258,1764142,2093,18,0,Colt,NZBNKB125-18,Proisir,New Zealand Bloodstock,2026,0,110000.00,140,155,90.3,127500.00,49,60,81.7,100000.00,-27500.00,0,2,2,170000.00,0,105,126,83.3,70000.00,high,0
539259,1762346,2093,19,0,Filly,NZBNKB125-19,Sword Of State,New Zealand Bloodstock,2026,0,110000.00,33,38,86.8,100000.00,33,38,86.8,100000.00,0.00,0,7,7,150000.00,0,33,34,97.1,150000.00,mid,0
539260,1764143,2093,20,0,Colt,NZBNKB125-20,Profondo,New Zealand Bloodstock,2026,0,110000.00,0,0,NULL,NULL,0,0,NULL,NULL,NULL,1,2,2,255000.00,0,101,107,94.4,80000.00,high,0
