lot_id,horseId,salesId,lot_number,book_number,sex,horse_name,sire_name,session_median_price,mv_expected_index,mv_low_index,mv_high_index,mv_expected_price,mv_low_price,mv_high_price,mv_confidence_tier,mv_model_version,mv_generated_at
505585,1718251,2002,770,1,Colt,Mmgcys26-770,Justify,200000.0,0.9690393271050829,0.5852836260932351,1.6916285236444468,193800.0,117100.0,338300.0,high,v2.0,2025-12-15 00:11:46.306877+00:00
505586,1718252,2002,771,1,Filly,Mmgcys26-771,Home Affairs,200000.0,0.7973714456295964,0.5690003678019323,1.4448930261131883,159500.0,113800.0,289000.0,high,v2.0,2025-12-15 00:11:46.306877+00:00
505587,1718253,2002,772,1,Colt,Mmgcys26-772,Spirit Of Boom,200000.0,0.511817005511566,0.38124360093316995,1.0505417358622886,102400.0,76200.0,210100.0,medium,v2.0,2025-12-15 00:11:46.306877+00:00
505588,1718254,2002,773,1,Colt,Mmgcys26-773,Harry Angel,200000.0,0.38752317043097756,0.22981494092345767,0.7740704963766084,77500.0,46000.0,154800.0,high,v2.0,2025-12-15 00:11:46.306877+00:00
505589,1718255,2002,774,1,Filly,Mmgcys26-774,Stay Inside,200000.0,0.5151055540791625,0.4984184571971807,0.9712262849486045,103000.0,99700.0,194200.0,high,v2.0,2025-12-15 00:11:46.306877+00:00
505590,1718256,2002,775,1,Filly,Mmgcys26-775,Nicconi,200000.0,0.5445070016245769,0.24181973508884527,1.010870494370126,108900.0,48400.0,202200.0,high,v2.0,2025-12-15 00:11:46.306877+00:00
505591,1718257,2002,776,1,Filly,Mmgcys26-776,I Am Invincible,200000.0,2.025691480458705,1.126830363648746,4.7445413409380786,405100.0,225400.0,948900.0,medium,v2.0,2025-12-15 00:11:46.306877+00:00
505592,1719832,2002,777,1,Colt,Mmgcys26-777,Ole Kirk,200000.0,1.068265310492961,0.6579752909073886,1.7118421295676585,213700.0,131600.0,342400.0,medium,v2.0,2025-12-15 00:11:46.306877+00:00
505593,1718258,2002,778,1,Filly,Mmgcys26-778,Capitalist,200000.0,0.43539420417493724,0.2752140924542898,0.9919978827899917,87100.0,55000.0,198400.0,high,v2.0,2025-12-15 00:11:46.306877+00:00
505594,1718259,2002,779,1,Filly,Mmgcys26-779,Zoustar,200000.0,2.1241320512806356,1.1361519889605947,3.217647000216725,424800.0,227200.0,643500.0,high,v2.0,2025-12-15 00:11:46.306877+00:00
505595,1718260,2002,780,1,Filly,Mmgcys26-780,Anamoe,200000.0,1.1439821932107883,0.956441625942193,2.1518497506606127,228800.0,191300.0,430400.0,high,v2.0,2025-12-15 00:11:46.306877+00:00
505596,1718261,2002,781,1,Colt,Mmgcys26-781,Anamoe,200000.0,2.1513737153864985,1.0168218492604606,3.13809210243214,430300.0,203400.0,627600.0,high,v2.0,2025-12-15 00:11:46.306877+00:00
505597,1718262,2002,782,1,Colt,Mmgcys26-782,Toronado,200000.0,1.2013648377097939,0.6840844925945038,2.328876739509718,240300.0,136800.0,465800.0,high,v2.0,2025-12-15 00:11:46.306877+00:00
505598,1718263,2002,783,1,Filly,Mmgcys26-783,Wootton Bassett,200000.0,1.4055281692963315,0.8216388852955645,2.452277316788554,281100.0,164300.0,490500.0,medium,v2.0,2025-12-15 00:11:46.306877+00:00
505599,1718264,2002,784,1,Colt,Mmgcys26-784,In The Congo,200000.0,0.7440339934220241,0.37600986794128277,1.2343652585143852,148800.0,75200.0,246900.0,high,v2.0,2025-12-15 00:11:46.306877+00:00
505600,1718265,2002,785,1,Colt,Mmgcys26-785,Too Darn Hot,200000.0,1.8230471098090444,1.2534388809746089,3.4110084692047957,364600.0,250700.0,682200.0,high,v2.0,2025-12-15 00:11:46.306877+00:00
505601,1718266,2002,786,1,Colt,Mmgcys26-786,Farnan,200000.0,0.9919659659613744,0.7605351120638391,1.6323521741924791,198400.0,152100.0,326500.0,high,v2.0,2025-12-15 00:11:46.306877+00:00
505602,1719829,2002,787,1,Colt,Mmgcys26-787,Exceedance,200000.0,0.39234669576525033,0.19472662948832759,0.9156934860843661,78500.0,38900.0,183100.0,high,v2.0,2025-12-15 00:11:46.306877+00:00
505603,1718267,2002,788,1,Filly,Mmgcys26-788,Written Tycoon,200000.0,1.7452514035492728,0.9233776117964029,2.1316900661937632,349100.0,184700.0,426300.0,high,v2.0,2025-12-15 00:11:46.306877+00:00
505604,1718268,2002,789,1,Filly,Mmgcys26-789,Harry Angel,200000.0,0.7504668616941979,0.5116257307446804,1.3005729927462568,150100.0,102300.0,260100.0,high,v2.0,2025-12-15 00:11:46.306877+00:00
505605,1718269,2002,790,1,Filly,Mmgcys26-790,Tarzino,200000.0,0.5365387555610268,0.3376847564557415,0.8616863750001692,107300.0,67500.0,172300.0,medium,v2.0,2025-12-15 00:11:46.306877+00:00
505606,1718270,2002,791,1,Colt,Mmgcys26-791,Starspangledbanner,200000.0,0.3988960890561896,0.2916666390189627,0.7445227865505827,79800.0,58300.0,148900.0,high,v2.0,2025-12-15 00:11:46.306877+00:00
505607,1718271,2002,792,1,Filly,Mmgcys26-792,Exceedance,200000.0,0.8270915303737206,0.4931548793940019,1.181107466766053,165400.0,98600.0,236200.0,high,v2.0,2025-12-15 00:11:46.306877+00:00
505608,1718272,2002,793,1,Colt,Mmgcys26-793,Cosmic Force,200000.0,0.7264078151082333,0.4684610650451955,1.366980437184353,145300.0,93700.0,273400.0,high,v2.0,2025-12-15 00:11:46.306877+00:00
505609,1718273,2002,794,1,Colt,Mmgcys26-794,Ole Kirk,200000.0,0.6995104423997184,0.6202402974097846,1.2270820604589856,139900.0,124000.0,245400.0,high,v2.0,2025-12-15 00:11:46.306877+00:00
505610,1718274,2002,795,1,Colt,Mmgcys26-795,Alabama Express,200000.0,0.6959685627912072,0.4119703033335408,0.9952375714831873,139200.0,82400.0,199000.0,medium,v2.0,2025-12-15 00:11:46.306877+00:00
505611,1718275,2002,796,1,Filly,Mmgcys26-796,In The Congo,200000.0,0.537923036057909,0.3038917496067386,0.8177937676809869,107600.0,60800.0,163600.0,high,v2.0,2025-12-15 00:11:46.306877+00:00
