lot_id,horseId,salesId,lot_number,book_number,sex,horse_name,sire_name,session_median_price,mv_expected_index,mv_low_index,mv_high_index,mv_expected_price,mv_low_price,mv_high_price,mv_confidence_tier,mv_model_version,mv_generated_at
507408,1722597,2005,1,1,Filly,Incys26-1,Dundeel,70000.0,1.1594331834687692,0.763070619343205,2.1530624451704865,81200.0,53400.0,150700.0,high,v2.0,2025-12-15 00:25:30.279449+00:00
507409,1751683,2005,2,1,Colt,INGS25-66,Artorius,70000.0,0.6653058679016575,0.6798266516704327,1.8171673401698234,46600.0,46600.0,127200.0,high,v2.0,2025-12-15 00:25:30.279449+00:00
507410,1722598,2005,3,1,Colt,Incys26-3,Written By,70000.0,0.8196343913990245,0.44158356978331587,1.61563217438063,57400.0,30900.0,113100.0,high,v2.0,2025-12-15 00:25:30.279449+00:00
507411,1722599,2005,4,1,Colt,Incys26-4,Super Seth,70000.0,1.2262841230847612,0.8155756114501358,2.2624206493152266,85800.0,57100.0,158400.0,medium,v2.0,2025-12-15 00:25:30.279449+00:00
507412,1722600,2005,5,1,Filly,Incys26-5,Hitotsu,70000.0,0.8127855318451446,0.5009518249560699,1.1975125882682969,56900.0,35100.0,83800.0,high,v2.0,2025-12-15 00:25:30.279449+00:00
507413,1752817,2005,6,1,Colt,INAUW25-387,Captivant,70000.0,0.5671451217616271,0.4238233993553772,0.9327747235537973,39700.0,29700.0,65300.0,high,v2.0,2025-12-15 00:25:30.279449+00:00
507414,1722602,2005,7,1,Colt,Incys26-7,Admire Mars,70000.0,0.9413542270193079,0.689437334400446,1.3888296222117418,65900.0,48300.0,97200.0,high,v2.0,2025-12-15 00:25:30.279449+00:00
507415,1723290,2005,8,1,Filly,Incys26-8,Yes Yes Yes,70000.0,0.9217743942510496,0.42875523733749904,1.2554222341353414,64500.0,30000.0,87900.0,high,v2.0,2025-12-15 00:25:30.279449+00:00
507416,1722603,2005,9,1,Colt,Incys26-9,North Pacific,70000.0,0.8740233687865132,0.3596017109385394,1.3179054065278106,61200.0,25200.0,92300.0,high,v2.0,2025-12-15 00:25:30.279449+00:00
507417,1722604,2005,10,1,Colt,Incys26-10,Brutal,70000.0,0.2783433983551507,0.13154591265235663,0.7180278087262634,19500.0,9200.0,50300.0,high,v2.0,2025-12-15 00:25:30.279449+00:00
507418,1722605,2005,11,1,Colt,Incys26-11,Profondo,70000.0,0.5937699226094683,0.35597904869148744,1.2073730430366212,41600.0,24900.0,84500.0,low,v2.0,2025-12-15 00:25:30.279449+00:00
507419,1722606,2005,12,1,Colt,Incys26-12,Anamoe,70000.0,2.1970271543638535,1.051961443670588,3.181681552919652,153800.0,73600.0,222700.0,high,v2.0,2025-12-15 00:25:30.279449+00:00
507420,1722607,2005,13,1,Filly,Incys26-13,Dundeel,70000.0,1.3465765623685793,0.7951174300638739,2.181764242808738,94300.0,55700.0,152700.0,high,v2.0,2025-12-15 00:25:30.279449+00:00
507421,1722608,2005,14,1,Colt,Incys26-14,Supido,70000.0,0.4260475445667301,0.3486113733815866,1.0409130805041025,29800.0,24400.0,72900.0,medium,v2.0,2025-12-15 00:25:30.279449+00:00
507422,1722609,2005,15,1,Colt,Incys26-15,Sword Of State,70000.0,1.7850622783687269,0.8438491896260151,3.1318190510408632,125000.0,59100.0,219200.0,low,v2.0,2025-12-15 00:25:30.279449+00:00
507423,1751692,2005,16,1,Filly,INGS25-76,Pinatubo,70000.0,0.9743663052322308,0.6521355988128196,2.0003803200220336,68200.0,45600.0,140000.0,high,v2.0,2025-12-15 00:25:30.279449+00:00
507424,1752828,2005,17,1,Colt,INAUW25-398,Farnan,70000.0,0.9784068311859307,0.5534880581531724,1.9222561765289083,68500.0,38700.0,134600.0,high,v2.0,2025-12-15 00:25:30.279449+00:00
507425,1722612,2005,18,1,Colt,Incys26-18,Capitalist,70000.0,0.6383841186869466,0.34144365442371577,1.4689743672987399,44700.0,23900.0,102800.0,high,v2.0,2025-12-15 00:25:30.279449+00:00
