lot_id,horseId,salesId,lot_number,book_number,sex,horse_name,sire_name,session_median_price,mv_expected_index,mv_low_index,mv_high_index,mv_expected_price,mv_low_price,mv_high_price,mv_raw_price,mv_confidence_tier,mv_model_version,mv_generated_at
507602,1722758,2005,195,0,Filly,Incys26-195,Tagaloa,70000.0,0.9369365472595252,0.5959364707916157,1.5541676632881376,65600.0,41700.0,108800.0,65600.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507603,1722759,2005,196,0,Colt,Incys26-196,Shamus Award,70000.0,0.7772945644568334,0.5089824240716116,1.6405068862540086,54400.0,35600.0,114800.0,54400.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507604,1722760,2005,197,0,Colt,Incys26-197,Sejardan,70000.0,0.7671086487302329,0.47829858462239133,1.7632971599460625,53700.0,33500.0,123400.0,53700.0,high,v2.1,2026-01-20 05:40:50.743936+00:00
507605,1722761,2005,198,0,Filly,Incys26-198,Pierata,70000.0,1.143227156031909,0.6025912116780988,1.4056800639923974,80000.0,42200.0,98400.0,80000.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507606,1722762,2005,199,0,Colt,Incys26-199,Zousain,70000.0,0.6628228280027982,0.611116014857716,1.5768048329915256,46400.0,42800.0,110400.0,46400.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507607,1752051,2005,200,0,Filly,MMGCNW25-114,Sejardan,70000.0,0.9696498093361036,0.46215108600386645,2.151206951264068,67900.0,32400.0,150600.0,67900.0,high,v2.1,2026-01-20 05:40:50.743936+00:00
507608,1723317,2005,201,0,Colt,Incys26-201,Star Turn,70000.0,0.5642927265444176,0.38830370186270347,1.3346405024749355,39500.0,27200.0,93400.0,39500.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507609,1723318,2005,202,0,Filly,Incys26-202,Exceedance,70000.0,1.1478774295246519,0.6052300699563946,1.8735140849312242,80400.0,42400.0,131100.0,80400.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507610,1722764,2005,203,0,Filly,Incys26-203,Harry Angel,70000.0,0.985155822567238,0.6152663556922245,2.0316093587227586,69000.0,43100.0,142200.0,69000.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507611,1722765,2005,204,0,Filly,Incys26-204,Brave Smash,70000.0,1.228448481244985,0.7116984554009581,2.056671045697661,86000.0,49800.0,144000.0,86000.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507612,1752959,2005,205,0,Filly,INAUW25-561,Lucky Vega,70000.0,1.626654533818729,0.819392698636283,2.970918357375336,113900.0,57400.0,208000.0,113900.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507613,1723319,2005,206,0,Filly,Incys26-206,Artorius,70000.0,1.067275845508332,0.7242550036708046,1.6983780575753156,74700.0,50700.0,118900.0,74700.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507614,1752961,2005,207,0,Filly,INAUW25-563,Artorius,70000.0,1.353198172798938,0.7170796981407402,2.13006978303919,94700.0,50200.0,149100.0,94700.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507615,1722767,2005,208,0,Filly,Incys26-208,Sandbar,70000.0,0.6700880965670416,0.41426738611621905,1.1465855871645148,46900.0,29000.0,80300.0,46900.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507616,1722768,2005,209,0,Filly,Incys26-209,Astern,70000.0,0.7632510712991489,0.5709118332312398,1.4507804128589088,53400.0,40000.0,101600.0,53400.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507617,1722769,2005,210,0,Colt,Incys26-210,Justify,70000.0,2.3452815096922714,1.4239398705517994,3.555836117669856,164200.0,99700.0,248900.0,164200.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507618,1752963,2005,211,0,Filly,INAUW25-566,Captivant,70000.0,0.6134993197938625,0.5523536205629567,1.2457426579156923,42900.0,38700.0,87200.0,42900.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507619,1718061,2005,212,0,Filly,Mmgcys26-578,Stay Inside,70000.0,1.1402628211986494,0.7499228238237754,2.5076092504467975,79800.0,52500.0,175500.0,79800.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507620,1722771,2005,213,0,Filly,Incys26-213,Admire Mars,70000.0,0.8809076197977335,0.393938507797996,1.4058298317825657,61700.0,27600.0,98400.0,61700.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507621,1722772,2005,214,0,Colt,Incys26-214,Finance Tycoon,70000.0,0.4289409852809598,0.3688622757562655,0.9042349607576409,30000.0,25800.0,63300.0,30000.0,high,v2.1,2026-01-20 05:40:50.743936+00:00
507622,1722773,2005,215,0,Colt,Incys26-215,Hello Youmzain,70000.0,1.4535819585443002,0.7666911644288718,2.7404142592277423,101800.0,53700.0,191800.0,101800.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507623,1722774,2005,216,0,Colt,Incys26-216,Russian Revolution,70000.0,0.36377433632985795,0.2483098874498785,0.9716915581422222,25500.0,17400.0,68000.0,25500.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507624,1722775,2005,217,0,Colt,Incys26-217,Profiteer,70000.0,0.3883387125504743,0.2735384200669919,0.7961928953861648,27200.0,19100.0,55700.0,27200.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507625,1722776,2005,218,0,Filly,Incys26-218,Capitalist,70000.0,1.0513072937887145,0.6303461314556927,2.010030457817942,73600.0,44100.0,140700.0,73600.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507626,1722777,2005,219,0,Filly,Incys26-219,Profiteer,70000.0,0.583386376824903,0.29450611574613117,0.9859165382428807,40800.0,20600.0,69000.0,40800.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507627,1722778,2005,220,0,Filly,Incys26-220,Cool Aza Beel,70000.0,0.9851663547356023,0.47474104832351954,1.0317311423390834,69000.0,33200.0,72200.0,69000.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507628,1751777,2005,221,0,Colt,INGS25-168,Artorius,70000.0,1.2919384305323334,0.7366222021812984,2.2641335144711308,90400.0,51600.0,158500.0,90400.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507629,1723322,2005,222,0,Colt,Incys26-222,Cosmic Force,70000.0,0.9272446421305229,0.694014799723845,2.0726908916051685,64900.0,48600.0,145100.0,64900.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507630,1722779,2005,223,0,Colt,Incys26-223,Cool Aza Beel,70000.0,0.558639626721808,0.27523316822240423,1.09015880545155,39100.0,19300.0,76300.0,39100.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507631,1722780,2005,224,0,Filly,Incys26-224,Time To Reign,70000.0,0.6228463278456186,0.3701600163376019,1.0525915194499682,43600.0,25900.0,73700.0,43600.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507632,1752966,2005,225,0,Colt,INAUW25-572,Jacquinot,70000.0,1.6336721840590573,1.3229964692852407,3.1381136724454737,114400.0,92600.0,219700.0,114400.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
